br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
5203,1,1,2024-01,22089.97,2024-01-28
5204,1,2,2024-01,2707.24,2024-01-28
5205,1,3,2024-01,405.75,2024-01-28
5206,1,4,2024-01,249.56,2024-01-28
5207,1,5,2024-01,2539.86,2024-01-28
5208,1,6,2024-01,472.22,2024-01-28
5209,2,1,2024-01,16955.54,2024-01-28
5210,2,2,2024-01,2221.07,2024-01-28
5211,2,3,2024-01,299.29,2024-01-28
5212,2,4,2024-01,249.56,2024-01-28
5213,2,5,2024-01,1499.71,2024-01-28
5214,2,6,2024-01,362.56,2024-01-28
5215,3,1,2024-01,14089.82,2024-01-28
5216,3,2,2024-01,1864.34,2024-01-28
5217,3,3,2024-01,269.79,2024-01-28
5218,3,4,2024-01,249.56,2024-01-28
5219,3,5,2024-01,1504.49,2024-01-28
5220,3,6,2024-01,296.93,2024-01-28
5221,4,1,2024-01,11462.90,2024-01-28
5222,4,2,2024-01,1424.18,2024-01-28
5223,4,3,2024-01,199.19,2024-01-28
5224,4,4,2024-01,249.56,2024-01-28
5225,4,5,2024-01,809.35,2024-01-28
5226,4,6,2024-01,258.06,2024-01-28
5227,5,1,2024-01,8835.99,2024-01-28
5228,5,2,2024-01,1156.46,2024-01-28
5229,5,3,2024-01,144.77,2024-01-28
5230,5,4,2024-01,249.56,2024-01-28
5231,5,5,2024-01,774.08,2024-01-28
5232,5,6,2024-01,194.66,2024-01-28
5233,6,1,2024-01,11701.71,2024-01-28
5234,6,2,2024-01,1573.55,2024-01-28
5235,6,3,2024-01,194.37,2024-01-28
5236,6,4,2024-01,249.56,2024-01-28
5237,6,5,2024-01,1158.83,2024-01-28
5238,6,6,2024-01,253.80,2024-01-28
5239,7,1,2024-01,10030.04,2024-01-28
5240,7,2,2024-01,1204.55,2024-01-28
5241,7,3,2024-01,195.42,2024-01-28
5242,7,4,2024-01,249.56,2024-01-28
5243,7,5,2024-01,903.79,2024-01-28
5244,7,6,2024-01,213.88,2024-01-28
5245,8,1,2024-01,10985.28,2024-01-28
5246,8,2,2024-01,1345.45,2024-01-28
5247,8,3,2024-01,213.50,2024-01-28
