order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
445885,202216,24,1,1.86,3.61
445886,202216,46,1,2.46,4.77
445887,202216,39,1,1.86,3.61
445888,202216,5,1,1.05,2.04
445889,202216,6,1,0.81,1.57
445890,202217,41,1,0.66,1.28
445891,202218,21,1,0.00,6.48
445892,202219,32,1,0.00,4.08
445893,202219,36,1,0.00,3.90
445894,202220,46,1,9.84,4.33
445895,202220,23,1,7.44,3.27
445896,202221,4,1,1.44,2.79
445897,202221,47,2,3.12,6.05
445898,202222,9,2,4.20,3.35
445899,202222,10,1,3.15,2.51
445900,202223,41,1,1.54,1.23
445901,202223,5,1,2.45,1.95
445902,202224,20,1,0.00,2.88
445903,202224,41,1,0.00,1.32
445904,202224,27,1,0.00,2.28
445905,202224,44,1,0.00,4.08
445906,202224,43,1,0.00,1.08
445907,202225,16,1,16.20,7.13
445908,202226,15,1,3.75,7.27
445909,202226,24,1,1.86,3.61
445910,202226,34,1,2.55,4.95
445911,202226,28,1,1.35,2.62
445912,202227,5,2,8.40,3.70
445913,202227,36,1,7.80,3.43
445914,202228,44,2,16.32,7.18
445915,202228,44,2,16.32,7.18
445916,202229,11,2,0.00,4.80
445917,202229,25,2,0.00,5.76
445918,202229,10,1,0.00,2.70
445919,202229,21,1,0.00,6.48
445920,202229,11,2,0.00,4.80
445921,202230,45,1,0.00,5.70
445922,202230,40,2,0.00,8.64
445923,202230,35,2,0.00,5.04
445924,202231,47,1,0.00,3.12
445925,202232,6,1,0.00,1.62
445926,202232,32,1,0.00,4.08
445927,202233,20,1,0.00,2.88
445928,202233,40,1,0.00,4.32
445929,202233,23,1,0.00,3.72
445930,202234,7,1,0.00,1.92
445931,202235,42,1,0.75,1.45
445932,202236,42,1,0.00,1.50
445933,202237,1,1,0.96,1.86
445934,202237,23,1,1.86,3.61
445935,202238,22,2,0.00,6.60
445936,202238,29,1,0.00,2.04
445937,202238,30,1,0.00,4.92
445938,202239,23,1,0.00,3.72
445939,202239,41,3,0.00,3.96
445940,202240,18,2,3.90,7.57
445941,202240,35,1,1.26,2.44
445942,202241,26,1,0.00,3.48
