sal_pay_ID,st_ID,pay_period,base_amount,bonus_amount,deduction_amount,payment_date
15475,1,2025-01,5264.77,0.00,579.12,2025-01-25
15476,2,2025-01,1736.82,0.00,191.05,2025-01-25
15477,3,2025-01,1772.24,0.00,194.95,2025-01-25
15478,4,2025-01,2447.99,0.00,269.28,2025-01-25
15479,5,2025-01,2293.12,0.00,252.24,2025-01-25
15480,6,2025-01,1814.17,0.00,199.56,2025-01-25
15481,7,2025-01,3150.20,0.00,346.52,2025-01-25
15482,8,2025-01,2675.20,0.00,294.27,2025-01-25
15483,9,2025-01,1836.52,0.00,202.02,2025-01-25
15484,10,2025-01,1878.26,0.00,206.61,2025-01-25
15485,11,2025-01,3166.61,0.00,348.33,2025-01-25
15486,12,2025-01,2273.57,0.00,250.09,2025-01-25
15487,13,2025-01,3553.88,0.00,390.93,2025-01-25
15488,14,2025-01,2204.68,0.00,242.51,2025-01-25
15489,15,2025-01,1969.19,0.00,216.61,2025-01-25
15490,16,2025-01,2047.64,0.00,225.24,2025-01-25
15491,19,2025-01,1821.45,0.00,200.36,2025-01-25
15492,20,2025-01,1782.04,0.00,196.02,2025-01-25
15493,21,2025-01,1932.47,0.00,212.57,2025-01-25
15494,22,2025-01,2131.64,0.00,234.48,2025-01-25
15495,23,2025-01,1983.68,0.00,218.20,2025-01-25
15496,24,2025-01,1955.67,0.00,215.12,2025-01-25
15497,25,2025-01,2079.47,0.00,228.74,2025-01-25
15498,26,2025-01,1921.90,0.00,211.41,2025-01-25
15499,27,2025-01,2597.09,0.00,285.68,2025-01-25
15500,28,2025-01,4995.95,0.00,549.55,2025-01-25
15501,30,2025-01,3056.15,0.00,336.18,2025-01-25
15502,31,2025-01,2050.47,0.00,225.55,2025-01-25
15503,33,2025-01,2010.29,0.00,221.13,2025-01-25
15504,35,2025-01,1944.12,0.00,213.85,2025-01-25
15505,36,2025-01,2319.52,0.00,255.15,2025-01-25
15506,37,2025-01,3171.08,0.00,348.82,2025-01-25
15507,40,2025-01,2376.80,0.00,261.45,2025-01-25
15508,41,2025-01,2317.23,0.00,254.90,2025-01-25
15509,42,2025-01,2694.94,0.00,296.44,2025-01-25
15510,43,2025-01,1771.51,0.00,194.87,2025-01-25
15511,44,2025-01,1867.65,0.00,205.44,2025-01-25
15512,45,2025-01,1752.21,0.00,192.74,2025-01-25
15513,46,2025-01,3080.82,0.00,338.89,2025-01-25
15514,47,2025-01,1961.13,0.00,215.72,2025-01-25
15515,49,2025-01,1949.19,0.00,214.41,2025-01-25
15516,50,2025-01,1886.88,0.00,207.56,2025-01-25
15517,51,2025-01,2082.93,0.00,229.12,2025-01-25
15518,52,2025-01,1947.86,0.00,214.26,2025-01-25
15519,53,2025-01,1784.44,0.00,196.29,2025-01-25
15520,54,2025-01,1806.21,0.00,198.68,2025-01-25
15521,55,2025-01,2001.72,0.00,220.19,2025-01-25
15522,56,2025-01,1806.93,0.00,198.76,2025-01-25
15523,57,2025-01,1822.26,0.00,200.45,2025-01-25
15524,58,2025-01,1915.95,0.00,210.75,2025-01-25
15525,59,2025-01,2507.96,0.00,275.88,2025-01-25
15526,60,2025-01,5513.75,0.00,606.51,2025-01-25
15527,61,2025-01,2467.96,0.00,271.48,2025-01-25
15528,62,2025-01,2052.58,0.00,225.78,2025-01-25
15529,63,2025-01,2533.64,0.00,278.70,2025-01-25
15530,65,2025-01,2089.74,0.00,229.87,2025-01-25
15531,66,2025-01,1994.28,0.00,219.37,2025-01-25
15532,67,2025-01,2266.01,0.00,249.26,2025-01-25
15533,68,2025-01,1999.29,0.00,219.92,2025-01-25
15534,70,2025-01,2649.23,0.00,291.42,2025-01-25
15535,71,2025-01,3487.82,0.00,383.66,2025-01-25
15536,72,2025-01,3153.64,0.00,346.90,2025-01-25
15537,73,2025-01,2020.75,0.00,222.28,2025-01-25
15538,74,2025-01,1972.04,0.00,216.92,2025-01-25
15539,75,2025-01,1977.33,0.00,217.51,2025-01-25
15540,76,2025-01,2103.83,0.00,231.42,2025-01-25
15541,77,2025-01,2086.50,0.00,229.52,2025-01-25
15542,78,2025-01,2112.95,0.00,232.42,2025-01-25
15543,79,2025-01,1955.67,0.00,215.12,2025-01-25
