order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
256138,116068,20,2,11.52,5.07
256139,116069,41,3,0.00,3.96
256140,116069,23,1,0.00,3.30
256141,116069,9,1,0.00,1.80
256142,116070,9,1,0.90,1.75
256143,116070,29,1,1.02,1.98
256144,116070,28,1,1.35,2.62
256145,116070,19,2,4.68,9.08
256146,116071,29,1,1.02,1.98
256147,116071,13,1,2.25,4.37
256148,116072,12,1,2.67,5.18
256149,116072,42,1,0.75,1.45
256150,116072,31,2,2.88,5.59
256151,116073,14,1,0.00,4.08
256152,116073,31,1,0.00,2.88
256153,116073,7,1,0.00,1.92
256154,116074,21,1,0.00,5.70
256155,116074,16,1,0.00,7.20
256156,116074,15,1,0.00,6.60
256157,116075,7,1,3.84,1.69
256158,116076,22,1,1.65,3.20
256159,116076,21,1,2.85,5.53
256160,116076,4,1,1.26,2.44
256161,116077,36,1,5.20,3.59
256162,116077,28,3,10.80,7.45
256163,116077,1,1,2.56,1.77
256164,116078,4,3,0.00,7.56
256165,116079,2,1,4.56,2.01
256166,116080,42,1,0.00,1.50
256167,116080,28,2,0.00,5.40
256168,116080,22,2,0.00,6.60
256169,116081,33,1,4.06,3.24
256170,116082,3,1,0.00,1.74
256171,116082,43,1,0.00,1.08
256172,116082,42,1,0.00,1.50
256173,116082,25,2,0.00,5.76
256174,116083,8,2,5.32,4.24
256175,116083,3,3,6.09,4.85
256176,116083,17,1,5.95,4.74
256177,116083,12,1,6.23,4.97
256178,116084,1,2,5.12,3.53
256179,116084,4,2,6.72,4.64
256180,116085,4,1,1.26,2.44
256181,116085,30,2,4.32,8.38
256182,116085,4,2,2.52,4.89
256183,116086,34,3,17.85,14.23
256184,116086,15,1,7.70,6.14
256185,116087,27,2,5.32,4.24
256186,116087,33,3,12.18,9.71
256187,116087,36,1,4.55,3.63
256188,116087,10,2,6.30,5.02
256189,116088,9,1,2.10,1.67
256190,116088,2,1,2.66,2.12
256191,116089,20,1,3.36,2.68
256192,116089,6,1,1.89,1.51
256193,116090,21,1,0.00,5.70
256194,116091,8,1,1.14,2.21
256195,116091,9,1,0.90,1.75
256196,116092,2,1,0.00,2.28
256197,116093,7,1,0.96,1.86
256198,116093,36,1,1.95,3.78
256199,116093,39,1,1.86,3.61
256200,116093,17,1,2.55,4.95
256201,116094,15,1,7.70,6.14
256202,116095,2,2,5.32,4.24
256203,116095,41,1,1.54,1.23
256204,116095,22,1,3.85,3.07
256205,116095,30,1,5.04,4.02
256206,116096,41,1,1.76,1.21
256207,116096,12,1,7.12,4.91
256208,116097,20,1,2.40,2.74
256209,116097,23,1,2.75,3.13
256210,116098,22,1,0.00,3.30
256211,116098,26,1,0.00,3.48
256212,116098,11,1,0.00,2.40
256213,116099,34,1,0.00,5.10
256214,116099,18,2,0.00,7.80
256215,116099,20,2,0.00,5.76
256216,116100,27,2,2.28,4.42
256217,116100,27,1,1.14,2.21
256218,116101,6,1,0.00,1.62
256219,116102,30,1,0.00,4.32
256220,116103,43,2,1.08,2.10
256221,116103,35,1,1.26,2.44
256222,116104,40,2,0.00,8.64
256223,116104,9,1,0.00,1.80
256224,116104,41,1,0.00,1.32
256225,116104,1,1,0.00,1.92
256226,116104,28,1,0.00,2.70
256227,116105,40,1,2.16,4.19
256228,116106,27,3,7.98,6.36
256229,116107,20,1,1.44,2.79
256230,116107,2,1,1.14,2.21
256231,116107,38,2,3.48,6.75
256232,116107,26,1,1.74,3.38
256233,116108,7,1,3.84,1.69
256234,116109,11,1,6.80,1.99
256235,116109,11,1,6.80,1.99
256236,116110,18,2,0.00,7.80
256237,116110,1,2,0.00,3.84
256238,116111,11,1,2.00,2.28
256239,116111,28,1,2.25,2.56
256240,116112,41,2,1.32,2.56
256241,116113,40,1,0.00,4.32
256242,116113,17,1,0.00,5.10
256243,116114,20,1,1.44,2.79
256244,116114,33,1,1.74,3.38
256245,116114,25,1,1.44,2.79
256246,116114,13,1,2.25,4.37
