br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
3415,1,1,2022-01,14575.34,2022-01-28
3416,1,2,2022-01,2035.10,2022-01-28
3417,1,3,2022-01,263.59,2022-01-28
3418,1,4,2022-01,235.23,2022-01-28
3419,1,5,2022-01,1653.89,2022-01-28
3420,1,6,2022-01,307.86,2022-01-28
3421,2,1,2022-01,11198.81,2022-01-28
3422,2,2,2022-01,1541.16,2022-01-28
3423,2,3,2022-01,187.53,2022-01-28
3424,2,4,2022-01,235.23,2022-01-28
3425,2,5,2022-01,1002.65,2022-01-28
3426,2,6,2022-01,244.64,2022-01-28
3427,3,1,2022-01,9285.45,2022-01-28
3428,3,2,2022-01,1118.32,2022-01-28
3429,3,3,2022-01,177.60,2022-01-28
3430,3,4,2022-01,235.23,2022-01-28
3431,3,5,2022-01,959.52,2022-01-28
3432,3,6,2022-01,207.47,2022-01-28
3433,4,1,2022-01,7540.91,2022-01-28
3434,4,2,2022-01,1002.73,2022-01-28
3435,4,3,2022-01,133.76,2022-01-28
3436,4,4,2022-01,235.23,2022-01-28
3437,4,5,2022-01,637.33,2022-01-28
3438,4,6,2022-01,170.89,2022-01-28
3439,5,1,2022-01,5852.65,2022-01-28
3440,5,2,2022-01,703.51,2022-01-28
3441,5,3,2022-01,106.04,2022-01-28
3442,5,4,2022-01,235.23,2022-01-28
3443,5,5,2022-01,675.15,2022-01-28
3444,5,6,2022-01,130.84,2022-01-28
3445,6,1,2022-01,7709.74,2022-01-28
3446,6,2,2022-01,954.30,2022-01-28
3447,6,3,2022-01,143.86,2022-01-28
3448,6,4,2022-01,235.23,2022-01-28
3449,6,5,2022-01,651.81,2022-01-28
3450,6,6,2022-01,171.90,2022-01-28
3451,7,1,2022-01,6640.50,2022-01-28
3452,7,2,2022-01,919.72,2022-01-28
3453,7,3,2022-01,128.71,2022-01-28
3454,7,4,2022-01,235.23,2022-01-28
3455,7,5,2022-01,763.97,2022-01-28
3456,7,6,2022-01,150.51,2022-01-28
3457,8,1,2022-01,7259.53,2022-01-28
3458,8,2,2022-01,961.99,2022-01-28
3459,8,3,2022-01,121.56,2022-01-28
3460,8,4,2022-01,235.23,2022-01-28
3461,8,5,2022-01,487.40,2022-01-28
3462,8,6,2022-01,165.44,2022-01-28
3463,9,1,2022-01,5683.82,2022-01-28
3464,9,2,2022-01,727.80,2022-01-28
3465,9,3,2022-01,104.31,2022-01-28
3466,9,4,2022-01,235.23,2022-01-28
3467,9,5,2022-01,429.18,2022-01-28
3468,9,6,2022-01,125.19,2022-01-28
3469,10,1,2022-01,7034.43,2022-01-28
3470,10,2,2022-01,850.42,2022-01-28
3471,10,3,2022-01,121.73,2022-01-28
3472,10,4,2022-01,235.23,2022-01-28
3473,10,5,2022-01,581.11,2022-01-28
3474,10,6,2022-01,162.87,2022-01-28
3475,11,1,2022-01,6753.05,2022-01-28
3476,11,2,2022-01,886.86,2022-01-28
3477,11,3,2022-01,113.01,2022-01-28
3478,11,4,2022-01,235.23,2022-01-28
3479,11,5,2022-01,453.81,2022-01-28
3480,11,6,2022-01,150.23,2022-01-28
3481,12,1,2022-01,5458.72,2022-01-28
3482,12,2,2022-01,683.39,2022-01-28
3483,12,3,2022-01,101.34,2022-01-28
3484,12,4,2022-01,235.23,2022-01-28
3485,12,5,2022-01,522.73,2022-01-28
3486,12,6,2022-01,121.17,2022-01-28
3487,1,1,2022-02,14575.34,2022-02-28
3488,1,2,2022-02,1971.18,2022-02-28
3489,1,3,2022-02,264.59,2022-02-28
3490,1,4,2022-02,235.23,2022-02-28
3491,1,5,2022-02,1613.09,2022-02-28
3492,1,6,2022-02,338.63,2022-02-28
3493,2,1,2022-02,11198.81,2022-02-28
3494,2,2,2022-02,1526.15,2022-02-28
3495,2,3,2022-02,195.61,2022-02-28
3496,2,4,2022-02,235.23,2022-02-28
3497,2,5,2022-02,1200.57,2022-02-28
3498,2,6,2022-02,239.30,2022-02-28
3499,3,1,2022-02,9285.45,2022-02-28
3500,3,2,2022-02,1222.26,2022-02-28
3501,3,3,2022-02,175.61,2022-02-28
3502,3,4,2022-02,235.23,2022-02-28
3503,3,5,2022-02,1050.26,2022-02-28
3504,3,6,2022-02,213.25,2022-02-28
3505,4,1,2022-02,7540.91,2022-02-28
3506,4,2,2022-02,1051.13,2022-02-28
3507,4,3,2022-02,146.85,2022-02-28
3508,4,4,2022-02,235.23,2022-02-28
3509,4,5,2022-02,524.03,2022-02-28
3510,4,6,2022-02,171.74,2022-02-28
3511,5,1,2022-02,5852.65,2022-02-28
3512,5,2,2022-02,792.06,2022-02-28
3513,5,3,2022-02,114.52,2022-02-28
3514,5,4,2022-02,235.23,2022-02-28
3515,5,5,2022-02,484.30,2022-02-28
3516,5,6,2022-02,131.82,2022-02-28
3517,6,1,2022-02,7709.74,2022-02-28
3518,6,2,2022-02,1008.13,2022-02-28
3519,6,3,2022-02,127.59,2022-02-28
3520,6,4,2022-02,235.23,2022-02-28
3521,6,5,2022-02,647.65,2022-02-28
3522,6,6,2022-02,178.22,2022-02-28
3523,7,1,2022-02,6640.50,2022-02-28
3524,7,2,2022-02,845.21,2022-02-28
3525,7,3,2022-02,126.38,2022-02-28
3526,7,4,2022-02,235.23,2022-02-28
3527,7,5,2022-02,655.09,2022-02-28
3528,7,6,2022-02,147.98,2022-02-28
3529,8,1,2022-02,7259.53,2022-02-28
3530,8,2,2022-02,922.11,2022-02-28
3531,8,3,2022-02,124.50,2022-02-28
3532,8,4,2022-02,235.23,2022-02-28
3533,8,5,2022-02,488.66,2022-02-28
3534,8,6,2022-02,166.67,2022-02-28
3535,9,1,2022-02,5683.82,2022-02-28
3536,9,2,2022-02,692.55,2022-02-28
3537,9,3,2022-02,96.57,2022-02-28
3538,9,4,2022-02,235.23,2022-02-28
3539,9,5,2022-02,569.87,2022-02-28
3540,9,6,2022-02,130.55,2022-02-28
3541,10,1,2022-02,7034.43,2022-02-28
3542,10,2,2022-02,938.29,2022-02-28
3543,10,3,2022-02,126.57,2022-02-28
3544,10,4,2022-02,235.23,2022-02-28
3545,10,5,2022-02,750.02,2022-02-28
3546,10,6,2022-02,152.97,2022-02-28
3547,11,1,2022-02,6753.05,2022-02-28
3548,11,2,2022-02,831.59,2022-02-28
3549,11,3,2022-02,127.33,2022-02-28
3550,11,4,2022-02,235.23,2022-02-28
3551,11,5,2022-02,654.69,2022-02-28
3552,11,6,2022-02,142.88,2022-02-28
3553,12,1,2022-02,5458.72,2022-02-28
3554,12,2,2022-02,736.97,2022-02-28
3555,12,3,2022-02,100.06,2022-02-28
3556,12,4,2022-02,235.23,2022-02-28
3557,12,5,2022-02,473.00,2022-02-28
3558,12,6,2022-02,117.15,2022-02-28
3559,1,1,2022-03,14575.34,2022-03-28
3560,1,2,2022-03,1954.52,2022-03-28
3561,1,3,2022-03,252.95,2022-03-28
3562,1,4,2022-03,235.23,2022-03-28
3563,1,5,2022-03,1247.10,2022-03-28
3564,1,6,2022-03,320.89,2022-03-28
3565,2,1,2022-03,11198.81,2022-03-28
3566,2,2,2022-03,1751.86,2022-03-28
3567,2,3,2022-03,202.72,2022-03-28
3568,2,4,2022-03,235.23,2022-03-28
3569,2,5,2022-03,920.92,2022-03-28
3570,2,6,2022-03,252.12,2022-03-28
3571,3,1,2022-03,9285.45,2022-03-28
3572,3,2,2022-03,1454.83,2022-03-28
3573,3,3,2022-03,169.05,2022-03-28
3574,3,4,2022-03,235.23,2022-03-28
3575,3,5,2022-03,1058.29,2022-03-28
3576,3,6,2022-03,210.08,2022-03-28
3577,4,1,2022-03,7540.91,2022-03-28
3578,4,2,2022-03,1063.89,2022-03-28
3579,4,3,2022-03,130.95,2022-03-28
3580,4,4,2022-03,235.23,2022-03-28
3581,4,5,2022-03,737.19,2022-03-28
3582,4,6,2022-03,171.11,2022-03-28
3583,5,1,2022-03,5852.65,2022-03-28
3584,5,2,2022-03,867.11,2022-03-28
3585,5,3,2022-03,109.39,2022-03-28
3586,5,4,2022-03,235.23,2022-03-28
3587,5,5,2022-03,439.04,2022-03-28
3588,5,6,2022-03,129.43,2022-03-28
3589,6,1,2022-03,7709.74,2022-03-28
3590,6,2,2022-03,1056.75,2022-03-28
3591,6,3,2022-03,136.49,2022-03-28
3592,6,4,2022-03,235.23,2022-03-28
3593,6,5,2022-03,624.53,2022-03-28
3594,6,6,2022-03,169.67,2022-03-28
3595,7,1,2022-03,6640.50,2022-03-28
3596,7,2,2022-03,991.66,2022-03-28
3597,7,3,2022-03,118.30,2022-03-28
3598,7,4,2022-03,235.23,2022-03-28
3599,7,5,2022-03,725.04,2022-03-28
3600,7,6,2022-03,151.31,2022-03-28
3601,8,1,2022-03,7259.53,2022-03-28
3602,8,2,2022-03,1068.41,2022-03-28
3603,8,3,2022-03,122.08,2022-03-28
