order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
256138,116068,20,3,17.28,7.60
256139,116069,41,5,0.00,6.60
256140,116069,23,2,0.00,6.60
256141,116069,9,2,0.00,3.60
256142,116070,9,2,1.80,3.49
256143,116070,29,1,1.02,1.98
256144,116070,28,2,2.70,5.24
256145,116070,19,3,7.02,13.62
256146,116071,29,2,2.04,3.96
256147,116071,13,2,4.50,8.73
256148,116072,12,1,2.67,5.18
256149,116072,42,3,2.25,4.37
256150,116072,31,4,5.76,11.17
256151,116073,14,2,0.00,8.16
256152,116073,31,1,0.00,2.88
256153,116073,7,2,0.00,3.84
256154,116074,21,1,0.00,5.70
256155,116074,16,2,0.00,14.40
256156,116074,15,3,0.00,19.80
256157,116075,7,1,3.84,1.69
256158,116076,22,2,3.30,6.40
256159,116076,21,3,8.55,16.59
256160,116076,4,2,2.52,4.89
256161,116077,36,2,10.40,7.18
256162,116077,28,5,18.00,12.42
256163,116077,1,1,2.56,1.77
256164,116078,4,5,0.00,12.60
256165,116079,2,1,4.56,2.01
256166,116080,42,1,0.00,1.50
256167,116080,28,3,0.00,8.10
256168,116080,22,4,0.00,13.20
256169,116081,33,2,8.12,6.47
256170,116082,3,3,0.00,5.22
256171,116082,43,1,0.00,1.08
256172,116082,42,2,0.00,3.00
256173,116082,25,3,0.00,8.64
256174,116083,8,4,10.64,8.48
256175,116083,3,5,10.15,8.09
256176,116083,17,2,11.90,9.49
256177,116083,12,2,12.46,9.93
256178,116084,1,4,10.24,7.07
256179,116084,4,4,13.44,9.27
256180,116085,4,1,1.26,2.44
256181,116085,30,3,6.48,12.57
256182,116085,4,4,5.04,9.78
256183,116086,34,5,29.75,23.71
256184,116086,15,2,15.40,12.28
256185,116087,27,3,7.98,6.36
256186,116087,33,5,20.30,16.18
256187,116087,36,1,4.55,3.63
256188,116087,10,4,12.60,10.04
256189,116088,9,2,4.20,3.35
256190,116088,2,2,5.32,4.24
256191,116089,20,2,6.72,5.36
256192,116089,6,3,5.67,4.52
256193,116090,21,3,0.00,17.10
256194,116091,8,3,3.42,6.63
256195,116091,9,2,1.80,3.49
256196,116092,2,1,0.00,2.28
256197,116093,7,1,0.96,1.86
256198,116093,36,1,1.95,3.78
256199,116093,39,2,3.72,7.22
256200,116093,17,2,5.10,9.89
256201,116094,15,1,7.70,6.14
256202,116095,2,4,10.64,8.48
256203,116095,41,1,1.54,1.23
256204,116095,22,2,7.70,6.14
256205,116095,30,3,15.12,12.05
256206,116096,41,2,3.52,2.43
256207,116096,12,3,21.36,14.74
256208,116097,20,3,7.20,8.21
