product_ID,product_name,product_brand,product_category,product_desc,product_unit_price
1,Gentle Foaming Cleanser,PureGlow,Facial Cleanser,Daily facial cleanser suitable for all skin types.,32.00
2,Charcoal Deep Cleanse Gel,PureGlow,Facial Cleanser,Daily facial cleanser suitable for all skin types.,38.00
3,Milk Cleansing Lotion,PureGlow,Facial Cleanser,Daily facial cleanser suitable for all skin types.,29.00
4,Salicylic Acid Acne Cleanser,ClearMe,Facial Cleanser,Daily facial cleanser suitable for all skin types.,42.00
5,Green Tea Purifying Cleanser,BotaniQ,Facial Cleanser,Daily facial cleanser suitable for all skin types.,35.00
6,Hyaluronic Hydrating Cleanser,HydraLuxe,Facial Cleanser,Daily facial cleanser suitable for all skin types.,40.00
7,Rose Water Soothing Toner,HydraLuxe,Toner,Balancing toner that refines pores and preps skin.,32.00
8,Witch Hazel Pore Toner,HydraLuxe,Toner,Balancing toner that refines pores and preps skin.,38.00
9,Centella Calming Toner,BotaniQ,Toner,Balancing toner that refines pores and preps skin.,40.00
10,Niacinamide Pore Toner,DermaVita,Toner,Balancing toner that refines pores and preps skin.,45.00
11,Glycolic Acid Exfoliating Toner,RenewLab,Toner,Balancing toner that refines pores and preps skin.,48.00
12,Vitamin C Brightening Serum,DermaVita,Serum,Concentrated treatment serum for targeted skin concerns.,89.00
13,Hyaluronic Acid Serum,DermaVita,Serum,Concentrated treatment serum for targeted skin concerns.,75.00
14,Niacinamide Pore Serum,DermaVita,Serum,Concentrated treatment serum for targeted skin concerns.,68.00
15,Retinol Renewal Serum,DermaVita,Serum,Concentrated treatment serum for targeted skin concerns.,110.00
16,Peptide Firming Serum,DermaVita,Serum,Concentrated treatment serum for targeted skin concerns.,120.00
17,Azelaic Acid Clarifying Serum,RenewLab,Serum,Concentrated treatment serum for targeted skin concerns.,95.00
18,24K Gold Peptide Serum,HydraLuxe,Serum,Concentrated treatment serum for targeted skin concerns.,150.00
19,Hyaluronic Acid Face Cream,HydraLuxe,Face Cream,Hydrating face cream that strengthens the skin barrier.,65.00
20,Ceramide Barrier Cream,HydraLuxe,Face Cream,Hydrating face cream that strengthens the skin barrier.,78.00
21,Oil Free Gel Cream,HydraLuxe,Face Cream,Hydrating face cream that strengthens the skin barrier.,48.00
22,Collagen Youth Cream,DermaVita,Face Cream,Hydrating face cream that strengthens the skin barrier.,95.00
23,Shea Butter Nourishing Cream,BotaniQ,Face Cream,Hydrating face cream that strengthens the skin barrier.,55.00
24,Dark Spot Correcting Cream,DermaVita,Face Cream,Hydrating face cream that strengthens the skin barrier.,88.00
25,SPF50 Daily Sunscreen Lotion,SunGuard,Sunscreen,Broad spectrum UV protection for daily wear.,55.00
26,Tinted Sunscreen SPF45,SunGuard,Sunscreen,Broad spectrum UV protection for daily wear.,62.00
27,Water Based Sunscreen Gel,SunGuard,Sunscreen,Broad spectrum UV protection for daily wear.,48.00
28,SPF60 Sport Sunscreen,SunGuard,Sunscreen,Broad spectrum UV protection for daily wear.,58.00
29,Mineral Sunscreen Stick SPF50,SunGuard,Sunscreen,Broad spectrum UV protection for daily wear.,52.00
30,Charcoal Detox Mask (Jar),PureGlow,Face Mask,Intensive weekly treatment mask.,38.00
31,Collagen Sheet Mask (Box of 5),PureGlow,Face Mask,Intensive weekly treatment mask.,45.00
32,Hydrating Sleeping Mask (Jar),PureGlow,Face Mask,Intensive weekly treatment mask.,72.00
33,Vitamin C Brightening Sheet Mask (Box of 5),PureGlow,Face Mask,Intensive weekly treatment mask.,48.00
34,Mud Purifying Mask (Jar),BotaniQ,Face Mask,Intensive weekly treatment mask.,36.00
35,Enzyme Peel Mask,RenewLab,Face Mask,Intensive weekly treatment mask.,58.00
36,Collagen Eye Cream,DermaVita,Eye Cream,Targeted care for the delicate eye area.,68.00
37,Caffeine De Puff Eye Gel,DermaVita,Eye Cream,Targeted care for the delicate eye area.,58.00
38,Retinol Eye Repair Cream,DermaVita,Eye Cream,Targeted care for the delicate eye area.,85.00
39,Peptide Eye Cream,HydraLuxe,Eye Cream,Targeted care for the delicate eye area.,92.00
40,Shea Butter Lip Balm,ClearMe,Lip Care,"Nourishing lip care for smooth, hydrated lips.",18.00
41,Vitamin E Lip Treatment,ClearMe,Lip Care,"Nourishing lip care for smooth, hydrated lips.",25.00
42,Overnight Lip Mask,HydraLuxe,Lip Care,"Nourishing lip care for smooth, hydrated lips.",28.00
43,Collagen Eye Mask (Box of 10),RenewLab,Eye Mask,"Targeted eye patches for puffiness, dark circles and fine lines.",52.00
44,Gold Hydrogel Eye Mask (Box of 10),RenewLab,Eye Mask,"Targeted eye patches for puffiness, dark circles and fine lines.",72.00
45,Caffeine Eye Patch (Box of 10),PureGlow,Eye Mask,"Targeted eye patches for puffiness, dark circles and fine lines.",58.00
46,Tea Tree Essential Oil,BotaniQ,Essential Oil,"Plant-derived oil for acne, inflammation and early signs of aging.",38.00
47,Lavender Essential Oil,BotaniQ,Essential Oil,"Plant-derived oil for acne, inflammation and early signs of aging.",42.00
48,Rosehip Facial Oil,BotaniQ,Essential Oil,"Plant-derived oil for acne, inflammation and early signs of aging.",62.00
