order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
1,1,4,1,1.26,2.44
2,1,4,1,1.26,2.44
3,1,23,2,3.30,6.40
4,2,8,1,1.14,2.21
5,2,13,1,2.25,4.37
6,3,27,1,4.56,2.01
7,3,4,1,5.04,2.22
8,3,18,2,15.60,6.86
9,4,27,1,1.14,2.21
10,4,27,1,1.14,2.21
11,5,9,1,2.10,1.67
12,5,29,2,4.76,3.79
13,6,37,1,9.35,2.74
14,6,21,1,16.15,4.73
15,7,36,1,0.00,3.90
16,8,27,1,4.56,2.01
17,8,38,1,6.96,3.06
18,8,24,2,14.88,6.55
19,8,39,1,7.44,3.27
20,8,29,1,4.08,1.80
21,9,30,2,0.00,8.64
22,9,26,1,0.00,3.48
23,9,28,1,0.00,2.70
24,9,2,2,0.00,4.56
25,10,26,1,6.96,3.06
26,10,21,1,11.40,5.02
27,11,10,1,0.00,2.70
28,12,35,2,5.88,4.69
29,13,12,1,0.00,5.34
30,14,20,1,1.44,2.79
31,14,9,2,1.80,3.49
32,14,4,1,1.26,2.44
33,15,6,1,4.59,1.34
34,15,38,1,9.86,2.89
35,16,26,1,1.74,3.38
36,17,40,1,5.04,4.02
37,18,32,2,9.52,7.59
38,19,4,1,2.94,2.34
39,19,8,1,2.66,2.12
40,19,31,2,6.72,5.36
41,19,4,1,2.94,2.34
42,20,20,1,0.00,2.88
43,21,15,1,0.00,6.60
44,21,8,1,0.00,2.28
45,21,16,1,0.00,7.20
46,22,6,1,0.81,1.57
47,23,16,1,0.00,7.20
48,23,40,2,0.00,8.64
49,23,32,1,0.00,4.08
50,24,17,1,10.20,4.49
51,24,13,1,9.00,3.96
52,24,16,2,28.80,12.67
53,25,24,1,1.86,3.61
54,25,27,2,2.28,4.42
55,25,28,1,1.35,2.62
56,26,26,1,6.96,3.06
57,26,7,1,3.84,1.69
58,27,10,1,5.40,2.38
59,27,36,2,15.60,6.86
60,27,38,1,6.96,3.06
61,27,38,1,6.96,3.06
62,27,5,2,8.40,3.70
63,28,35,1,2.10,2.39
64,28,11,2,4.00,4.56
65,28,2,2,3.80,4.33
66,28,31,2,4.80,5.47
67,29,11,1,2.80,2.23
68,29,17,1,5.95,4.74
69,30,11,1,0.00,2.40
70,30,34,1,0.00,5.10
71,30,8,2,0.00,4.56
72,31,29,1,0.00,2.04
73,32,26,1,0.00,3.48
74,33,16,1,14.40,6.34
75,33,41,1,2.64,1.16
76,34,22,1,3.85,3.07
77,34,36,2,9.10,7.25
78,34,5,2,4.90,3.91
79,35,3,1,0.87,1.69
80,35,7,1,0.96,1.86
81,35,39,1,1.86,3.61
82,35,9,1,0.90,1.75
83,36,37,1,3.85,3.07
84,36,20,3,10.08,8.04
85,37,32,1,2.04,3.96
86,38,8,2,2.28,4.42
87,38,5,1,1.05,2.04
88,39,13,1,0.00,4.50
89,39,18,2,0.00,7.80
90,40,16,2,16.80,13.39
91,41,41,1,0.66,1.28
92,41,9,1,0.90,1.75
93,41,16,2,7.20,13.97
94,41,43,2,1.08,2.10
95,42,22,1,1.65,3.20
96,43,22,1,0.00,3.30
97,43,40,2,0.00,8.64
98,43,27,1,0.00,2.28
99,43,6,1,0.00,1.62
100,43,9,1,0.00,1.80
101,44,27,2,2.28,4.42
102,44,3,1,0.87,1.69
103,44,23,1,1.65,3.20
104,44,29,1,1.02,1.98
105,44,23,1,1.65,3.20
106,45,30,1,5.04,4.02
107,46,29,2,8.16,3.59
108,46,26,1,6.96,3.06
109,46,42,1,3.00,1.32
110,47,28,1,0.00,2.70
111,47,37,1,0.00,3.30
112,47,29,1,0.00,2.04
113,47,37,1,0.00,3.30
114,48,41,2,1.32,2.56
115,48,28,1,1.35,2.62
116,48,23,1,1.65,3.20
117,49,8,1,1.14,2.21
118,49,36,1,1.95,3.78
119,49,32,1,2.04,3.96
120,49,31,2,2.88,5.59
121,49,11,1,1.20,2.33
122,50,26,1,1.74,3.38
