sal_pay_ID,st_ID,pay_period,base_amount,bonus_amount,deduction_amount,payment_date
1,1,2018-01,6180.82,0.00,679.89,2018-01-25
2,2,2018-01,1980.38,0.00,217.84,2018-01-25
3,3,2018-01,2251.00,0.00,247.61,2018-01-25
4,4,2018-01,1963.60,0.00,216.00,2018-01-25
5,5,2018-01,2838.46,0.00,312.23,2018-01-25
6,6,2018-01,2253.98,0.00,247.94,2018-01-25
7,7,2018-01,2145.54,0.00,236.01,2018-01-25
8,8,2018-01,2022.52,0.00,222.48,2018-01-25
9,9,2018-01,2451.51,0.00,269.67,2018-01-25
10,10,2018-01,2193.87,0.00,241.33,2018-01-25
11,11,2018-01,3840.73,0.00,422.48,2018-01-25
12,12,2018-01,2767.64,0.00,304.44,2018-01-25
13,13,2018-01,4099.01,0.00,450.89,2018-01-25
14,14,2018-01,3869.82,0.00,425.68,2018-01-25
15,15,2018-01,2357.30,0.00,259.30,2018-01-25
16,16,2018-01,2767.98,0.00,304.48,2018-01-25
17,17,2018-01,1985.43,0.00,218.40,2018-01-25
18,18,2018-01,2286.20,0.00,251.48,2018-01-25
19,19,2018-01,2279.25,0.00,250.72,2018-01-25
20,20,2018-01,2100.18,0.00,231.02,2018-01-25
21,21,2018-01,2212.01,0.00,243.32,2018-01-25
22,22,2018-01,2199.97,0.00,242.00,2018-01-25
23,24,2018-01,6205.19,0.00,682.57,2018-01-25
24,25,2018-01,4124.94,0.00,453.74,2018-01-25
25,26,2018-01,2515.67,0.00,276.72,2018-01-25
26,27,2018-01,2814.75,0.00,309.62,2018-01-25
27,28,2018-01,4109.91,0.00,452.09,2018-01-25
28,29,2018-01,2043.94,0.00,224.83,2018-01-25
29,30,2018-01,2621.88,0.00,288.41,2018-01-25
30,31,2018-01,2085.73,0.00,229.43,2018-01-25
31,32,2018-01,2214.54,0.00,243.60,2018-01-25
32,33,2018-01,2583.19,0.00,284.15,2018-01-25
33,34,2018-01,2029.88,0.00,223.29,2018-01-25
34,35,2018-01,2418.26,0.00,266.01,2018-01-25
35,36,2018-01,2376.13,0.00,261.37,2018-01-25
36,37,2018-01,2695.20,0.00,296.47,2018-01-25
37,38,2018-01,4087.93,0.00,449.67,2018-01-25
38,39,2018-01,2303.20,0.00,253.35,2018-01-25
39,40,2018-01,2008.80,0.00,220.97,2018-01-25
40,41,2018-01,2406.09,0.00,264.67,2018-01-25
41,42,2018-01,2051.62,0.00,225.68,2018-01-25
42,43,2018-01,2243.07,0.00,246.74,2018-01-25
43,44,2018-01,2393.31,0.00,263.26,2018-01-25
44,49,2018-01,6579.17,0.00,723.71,2018-01-25
45,50,2018-01,2504.96,0.00,275.55,2018-01-25
46,51,2018-01,2036.37,0.00,224.00,2018-01-25
47,52,2018-01,2279.70,0.00,250.77,2018-01-25
48,53,2018-01,2417.72,0.00,265.95,2018-01-25
49,54,2018-01,2087.52,0.00,229.63,2018-01-25
50,55,2018-01,2039.94,0.00,224.39,2018-01-25
51,56,2018-01,3638.96,0.00,400.29,2018-01-25
52,57,2018-01,2130.26,0.00,234.33,2018-01-25
53,58,2018-01,1930.52,0.00,212.36,2018-01-25
54,59,2018-01,2364.67,0.00,260.11,2018-01-25
55,60,2018-01,2590.82,0.00,284.99,2018-01-25
56,61,2018-01,3763.59,0.00,413.99,2018-01-25
57,62,2018-01,2685.11,0.00,295.36,2018-01-25
58,63,2018-01,2071.63,0.00,227.88,2018-01-25
59,64,2018-01,2140.58,0.00,235.46,2018-01-25
60,65,2018-01,1935.59,0.00,212.91,2018-01-25
61,68,2018-01,6025.87,0.00,662.85,2018-01-25
62,69,2018-01,3706.72,0.00,407.74,2018-01-25
63,70,2018-01,2165.83,0.00,238.24,2018-01-25
64,71,2018-01,2248.87,0.00,247.38,2018-01-25
65,97,2018-01,5978.43,0.00,657.63,2018-01-25
66,98,2018-01,2173.23,0.00,239.06,2018-01-25
67,99,2018-01,2695.39,0.00,296.49,2018-01-25
68,100,2018-01,2260.90,0.00,248.70,2018-01-25
69,101,2018-01,3885.03,0.00,427.35,2018-01-25
70,102,2018-01,2200.28,0.00,242.03,2018-01-25
71,103,2018-01,2426.47,0.00,266.91,2018-01-25
72,104,2018-01,3862.47,0.00,424.87,2018-01-25
73,105,2018-01,2087.59,0.00,229.63,2018-01-25
74,106,2018-01,2622.17,0.00,288.44,2018-01-25
75,107,2018-01,2314.59,0.00,254.60,2018-01-25
76,108,2018-01,2114.79,0.00,232.63,2018-01-25
77,109,2018-01,2083.20,0.00,229.15,2018-01-25
78,110,2018-01,2113.37,0.00,232.47,2018-01-25
79,115,2018-01,6469.73,0.00,711.67,2018-01-25
80,116,2018-01,2090.41,0.00,229.95,2018-01-25
81,117,2018-01,2053.37,0.00,225.87,2018-01-25
82,118,2018-01,2074.70,0.00,228.22,2018-01-25
83,119,2018-01,1951.76,0.00,214.69,2018-01-25
84,120,2018-01,3961.00,0.00,435.71,2018-01-25
85,121,2018-01,4071.17,0.00,447.83,2018-01-25
86,122,2018-01,1998.25,0.00,219.81,2018-01-25
87,123,2018-01,2501.85,0.00,275.20,2018-01-25
88,124,2018-01,2112.43,0.00,232.37,2018-01-25
89,125,2018-01,2876.55,0.00,316.42,2018-01-25
90,126,2018-01,2816.99,0.00,309.87,2018-01-25
91,127,2018-01,2870.97,0.00,315.81,2018-01-25
92,128,2018-01,2199.74,0.00,241.97,2018-01-25
93,129,2018-01,2178.57,0.00,239.64,2018-01-25
94,130,2018-01,1998.93,0.00,219.88,2018-01-25
95,132,2018-01,6169.13,0.00,678.60,2018-01-25
96,133,2018-01,2071.96,0.00,227.92,2018-01-25
97,134,2018-01,2391.52,0.00,263.07,2018-01-25
98,135,2018-01,2762.42,0.00,303.87,2018-01-25
99,136,2018-01,2441.61,0.00,268.58,2018-01-25
100,137,2018-01,2002.33,0.00,220.26,2018-01-25
101,138,2018-01,2495.32,0.00,274.49,2018-01-25
102,139,2018-01,1954.37,0.00,214.98,2018-01-25
103,140,2018-01,2115.01,0.00,232.65,2018-01-25
104,141,2018-01,3969.88,0.00,436.69,2018-01-25
105,142,2018-01,1967.28,0.00,216.40,2018-01-25
106,143,2018-01,2301.04,0.00,253.11,2018-01-25
107,144,2018-01,4284.30,0.00,471.27,2018-01-25
108,145,2018-01,2410.89,0.00,265.20,2018-01-25
109,149,2018-01,6340.59,0.00,697.46,2018-01-25
110,150,2018-01,2190.07,0.00,240.91,2018-01-25
111,151,2018-01,2252.71,0.00,247.80,2018-01-25
112,152,2018-01,2104.61,0.00,231.51,2018-01-25
113,153,2018-01,2451.40,0.00,269.65,2018-01-25
114,154,2018-01,2585.17,0.00,284.37,2018-01-25
115,155,2018-01,2302.00,0.00,253.22,2018-01-25
116,156,2018-01,2261.77,0.00,248.79,2018-01-25
117,157,2018-01,2393.47,0.00,263.28,2018-01-25
118,158,2018-01,3630.93,0.00,399.40,2018-01-25
119,159,2018-01,1936.51,0.00,213.02,2018-01-25
120,161,2018-01,6298.78,0.00,692.87,2018-01-25
121,162,2018-01,2308.44,0.00,253.93,2018-01-25
122,163,2018-01,2768.24,0.00,304.51,2018-01-25
123,164,2018-01,4163.33,0.00,457.97,2018-01-25
124,165,2018-01,2441.67,0.00,268.58,2018-01-25
125,166,2018-01,1990.74,0.00,218.98,2018-01-25
126,167,2018-01,2186.53,0.00,240.52,2018-01-25
127,168,2018-01,2317.73,0.00,254.95,2018-01-25
128,169,2018-01,2102.59,0.00,231.28,2018-01-25
129,170,2018-01,2374.45,0.00,261.19,2018-01-25
130,171,2018-01,2264.48,0.00,249.09,2018-01-25
131,172,2018-01,4039.52,0.00,444.35,2018-01-25
132,173,2018-01,2112.73,0.00,232.40,2018-01-25
133,174,2018-01,2295.71,0.00,252.53,2018-01-25
134,175,2018-01,1952.15,0.00,214.74,2018-01-25
135,177,2018-01,6562.36,0.00,721.86,2018-01-25
136,178,2018-01,2105.19,0.00,231.57,2018-01-25
137,179,2018-01,2131.70,0.00,234.49,2018-01-25
138,180,2018-01,2590.24,0.00,284.93,2018-01-25
139,181,2018-01,4085.99,0.00,449.46,2018-01-25
140,182,2018-01,2821.99,0.00,310.42,2018-01-25
141,183,2018-01,2107.20,0.00,231.79,2018-01-25
142,184,2018-01,2474.59,0.00,272.20,2018-01-25
143,185,2018-01,2323.58,0.00,255.59,2018-01-25
144,186,2018-01,1933.46,0.00,212.68,2018-01-25
145,187,2018-01,2310.27,0.00,254.13,2018-01-25
146,188,2018-01,3882.32,0.00,427.06,2018-01-25
147,189,2018-01,1911.59,0.00,210.27,2018-01-25
148,190,2018-01,1947.44,0.00,214.22,2018-01-25
149,191,2018-01,6036.01,0.00,663.96,2018-01-25
150,192,2018-01,2048.47,0.00,225.33,2018-01-25
151,193,2018-01,1924.09,0.00,211.65,2018-01-25
152,194,2018-01,1929.55,0.00,212.25,2018-01-25
153,195,2018-01,2663.30,0.00,292.96,2018-01-25
154,196,2018-01,3738.68,0.00,411.25,2018-01-25
155,197,2018-01,1993.67,0.00,219.30,2018-01-25
156,198,2018-01,2574.18,0.00,283.16,2018-01-25
157,1,2018-02,6208.68,0.00,682.95,2018-02-25
158,2,2018-02,1987.50,0.00,218.62,2018-02-25
159,3,2018-02,2251.26,0.00,247.64,2018-02-25
