br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
1,1,1,2018-01,18500.00,2018-01-28
2,1,2,2018-01,2522.37,2018-01-28
3,1,3,2018-01,315.89,2018-01-28
4,1,4,2018-01,209.00,2018-01-28
5,1,5,2018-01,1417.46,2018-01-28
6,1,6,2018-01,424.92,2018-01-28
7,2,1,2018-01,14200.00,2018-01-28
8,2,2,2018-01,1751.02,2018-01-28
9,2,3,2018-01,277.74,2018-01-28
10,2,4,2018-01,209.00,2018-01-28
11,2,5,2018-01,1044.16,2018-01-28
12,2,6,2018-01,306.28,2018-01-28
13,3,1,2018-01,11800.00,2018-01-28
14,3,2,2018-01,1549.94,2018-01-28
15,3,3,2018-01,217.37,2018-01-28
16,3,4,2018-01,209.00,2018-01-28
17,3,5,2018-01,1293.27,2018-01-28
18,3,6,2018-01,254.54,2018-01-28
19,4,1,2018-01,9600.00,2018-01-28
20,4,2,2018-01,1332.03,2018-01-28
21,4,3,2018-01,173.58,2018-01-28
22,4,4,2018-01,209.00,2018-01-28
23,4,5,2018-01,665.88,2018-01-28
24,4,6,2018-01,221.67,2018-01-28
25,6,1,2018-01,9800.00,2018-01-28
26,6,2,2018-01,1345.32,2018-01-28
27,6,3,2018-01,170.24,2018-01-28
28,6,4,2018-01,209.00,2018-01-28
29,6,5,2018-01,806.34,2018-01-28
30,6,6,2018-01,223.33,2018-01-28
31,7,1,2018-01,8400.00,2018-01-28
32,7,2,2018-01,1114.94,2018-01-28
33,7,3,2018-01,142.52,2018-01-28
34,7,4,2018-01,209.00,2018-01-28
35,7,5,2018-01,953.02,2018-01-28
36,7,6,2018-01,181.97,2018-01-28
37,8,1,2018-01,9200.00,2018-01-28
38,8,2,2018-01,1158.01,2018-01-28
39,8,3,2018-01,152.00,2018-01-28
40,8,4,2018-01,209.00,2018-01-28
41,8,5,2018-01,626.55,2018-01-28
42,8,6,2018-01,196.14,2018-01-28
43,9,1,2018-01,7200.00,2018-01-28
44,9,2,2018-01,1001.58,2018-01-28
