order_det_ID,order_ID,product_ID,order_quantity,order_unit_price,order_discount,order_tax
635341,290710,24,1,69.00,0.00,4.14
635342,290711,10,3,45.00,4.05,7.86
635343,290711,43,2,18.00,1.08,2.10
635344,290712,4,1,54.00,0.00,3.24
635345,290713,43,1,18.00,0.00,1.08
635346,290713,18,1,65.00,0.00,3.90
635347,290714,7,1,32.00,2.24,1.79
635348,290715,21,1,108.00,0.00,6.48
635349,290716,2,1,38.00,1.90,2.17
635350,290716,47,2,52.00,5.20,5.93
635351,290717,3,1,29.00,0.00,1.74
635352,290717,32,1,68.00,0.00,4.08
635353,290718,20,1,48.00,1.44,2.79
635354,290718,37,1,55.00,1.65,3.20
635355,290718,28,2,50.00,3.00,5.82
635356,290719,1,1,32.00,0.00,1.92
635357,290719,20,1,48.00,0.00,2.88
635358,290719,44,2,68.00,0.00,8.16
635359,290720,48,1,88.00,6.16,4.91
635360,290720,27,1,38.00,2.66,2.12
635361,290721,23,1,62.00,0.00,3.72
635362,290721,36,3,72.00,0.00,12.96
635363,290722,12,1,98.00,2.94,5.70
635364,290722,23,2,62.00,3.72,7.22
635365,290722,47,2,52.00,3.12,6.05
635366,290723,35,2,42.00,2.52,4.89
635367,290724,10,1,45.00,2.25,2.56
635368,290724,7,1,32.00,1.60,1.82
635369,290725,17,1,85.00,4.25,4.84
635370,290726,3,2,29.00,6.96,3.06
635371,290727,38,1,58.00,9.86,2.89
635372,290727,46,1,82.00,13.94,4.08
635373,290728,1,2,32.00,4.48,3.57
635374,290728,30,3,82.00,17.22,13.73
635375,290728,33,1,58.00,4.06,3.24
635376,290729,16,1,149.00,10.43,8.31
635377,290729,38,1,58.00,4.06,3.24
635378,290729,35,1,42.00,2.94,2.34
635379,290730,25,1,48.00,1.44,2.79
635380,290731,6,1,27.00,0.00,1.62
635381,290732,28,1,50.00,2.50,2.85
635382,290732,27,2,38.00,3.80,4.33
635383,290732,11,1,40.00,2.00,2.28
635384,290732,40,1,72.00,3.60,4.10
635385,290733,7,1,32.00,0.00,1.92
635386,290734,48,2,88.00,0.00,10.56
635387,290735,1,2,32.00,1.92,3.72
635388,290735,1,2,32.00,1.92,3.72
635389,290736,41,1,22.00,0.00,1.32
635390,290736,23,1,62.00,0.00,3.72
635391,290737,36,1,72.00,5.04,4.02
635392,290737,21,1,108.00,7.56,6.03
635393,290737,8,2,38.00,5.32,4.24
635394,290738,37,1,55.00,0.00,3.30
635395,290739,2,1,38.00,0.00,2.28
635396,290739,42,2,25.00,0.00,3.00
635397,290740,25,1,48.00,0.00,2.88
635398,290741,10,1,45.00,1.35,2.62
635399,290741,46,2,82.00,4.92,9.54
635400,290742,17,1,85.00,0.00,5.10
635401,290742,20,2,48.00,0.00,5.76
635402,290743,12,1,98.00,0.00,5.88
635403,290743,34,1,85.00,0.00,5.10
635404,290744,42,1,25.00,0.00,1.50
635405,290745,25,3,48.00,0.00,8.64
635406,290746,30,2,82.00,4.92,9.54
635407,290746,37,1,55.00,1.65,3.20
635408,290747,1,1,32.00,0.00,1.92
635409,290747,1,1,32.00,0.00,1.92
635410,290747,1,2,32.00,0.00,3.84
635411,290748,2,2,38.00,2.28,4.42
635412,290748,7,1,32.00,0.96,1.86
635413,290748,2,1,38.00,1.14,2.21
635414,290748,46,1,82.00,2.46,4.77
635415,290749,41,1,22.00,1.10,1.25
635416,290750,32,1,68.00,0.00,4.08
635417,290751,20,2,48.00,0.00,5.76
635418,290751,25,1,48.00,0.00,2.88
635419,290751,38,1,58.00,0.00,3.48
635420,290751,21,2,108.00,0.00,12.96
635421,290752,12,2,98.00,13.72,10.94
635422,290752,33,2,58.00,8.12,6.47
635423,290753,43,1,18.00,0.54,1.05
635424,290754,26,1,58.00,1.74,3.38
635425,290754,29,1,34.00,1.02,1.98
635426,290755,20,2,48.00,0.00,5.76
635427,290756,46,1,82.00,0.00,4.92
635428,290756,4,1,54.00,0.00,3.24
635429,290757,13,1,84.00,2.52,4.89
635430,290757,1,1,32.00,0.96,1.86
635431,290757,3,1,29.00,0.87,1.69
635432,290758,3,2,29.00,0.00,3.48
635433,290758,6,3,27.00,0.00,4.86
635434,290759,32,2,68.00,10.88,7.51
635435,290759,37,1,55.00,4.40,3.04
635436,290759,28,1,50.00,4.00,2.76
635437,290759,1,2,32.00,5.12,3.53
635438,290760,27,2,38.00,2.28,4.42
635439,290760,39,1,62.00,1.86,3.61
635440,290761,34,1,85.00,0.00,5.10
635441,290762,47,1,52.00,0.00,3.12
635442,290762,9,1,30.00,0.00,1.80
635443,290762,5,1,35.00,0.00,2.10
635444,290763,6,3,27.00,0.00,4.86
635445,290763,43,1,18.00,0.00,1.08
635446,290763,35,2,42.00,0.00,5.04
635447,290763,6,2,27.00,0.00,3.24
635448,290764,42,2,25.00,6.00,2.64
635449,290764,9,1,30.00,3.60,1.58
635450,290764,26,2,58.00,13.92,6.12
635451,290764,11,1,40.00,4.80,2.11
635452,290764,29,2,34.00,8.16,3.59
635453,290765,29,1,34.00,0.00,2.04
635454,290765,31,1,48.00,0.00,2.88
635455,290766,33,1,58.00,6.96,3.06
635456,290766,45,2,105.00,25.20,11.09
635457,290766,12,1,98.00,11.76,5.17
635458,290767,2,1,38.00,0.00,2.28
635459,290767,6,2,27.00,0.00,3.24
635460,290768,7,2,32.00,1.92,3.72
635461,290768,3,1,29.00,0.87,1.69
635462,290768,48,2,88.00,5.28,10.24
635463,290768,19,2,88.00,5.28,10.24
635464,290769,35,2,42.00,5.88,4.69
635465,290769,24,1,69.00,4.83,3.85
635466,290770,42,1,25.00,0.75,1.45
635467,290770,32,2,68.00,4.08,7.92
635468,290771,27,1,38.00,1.90,2.17
635469,290772,40,1,72.00,2.16,4.19
635470,290772,28,1,50.00,1.50,2.91
635471,290772,6,2,27.00,1.62,3.14
635472,290772,41,2,22.00,1.32,2.56
635473,290773,36,1,72.00,2.16,4.19
635474,290774,38,1,58.00,0.00,3.48
635475,290774,45,1,105.00,0.00,6.30
635476,290774,28,1,50.00,0.00,3.00
635477,290774,3,1,29.00,0.00,1.74
635478,290775,2,2,38.00,0.00,4.56
635479,290776,1,2,32.00,1.92,3.72
635480,290777,41,1,22.00,1.10,1.25
635481,290778,7,1,32.00,0.00,1.92
635482,290779,37,1,55.00,0.00,3.30
635483,290779,23,1,62.00,0.00,3.72
635484,290779,27,2,38.00,0.00,4.56
635485,290779,36,2,72.00,0.00,8.64
635486,290780,27,1,38.00,2.66,2.12
635487,290780,40,2,72.00,10.08,8.04
635488,290780,31,1,48.00,3.36,2.68
635489,290780,46,2,82.00,11.48,9.15
635490,290780,42,1,25.00,1.75,1.40
635491,290781,45,1,105.00,0.00,6.30
635492,290782,25,2,48.00,6.72,5.36
635493,290782,6,1,27.00,1.89,1.51
635494,290782,46,1,82.00,5.74,4.58
635495,290782,35,1,42.00,2.94,2.34
635496,290783,34,2,85.00,0.00,10.20
635497,290783,38,3,58.00,0.00,10.44
635498,290783,38,1,58.00,0.00,3.48
635499,290783,16,1,149.00,0.00,8.94
635500,290784,15,2,125.00,0.00,15.00
635501,290784,6,1,27.00,0.00,1.62
635502,290784,26,1,58.00,0.00,3.48
635503,290785,12,1,98.00,2.94,5.70
635504,290785,38,1,58.00,1.74,3.38
635505,290786,6,1,27.00,0.00,1.62
635506,290787,29,1,34.00,0.00,2.04
635507,290787,38,1,58.00,0.00,3.48
635508,290788,43,1,18.00,0.00,1.08
635509,290788,44,2,68.00,0.00,8.16
635510,290788,21,1,108.00,0.00,6.48
635511,290788,31,2,48.00,0.00,5.76
635512,290789,16,3,149.00,13.41,26.02
635513,290790,9,1,30.00,0.00,1.80
635514,290790,29,2,34.00,0.00,4.08
635515,290790,43,1,18.00,0.00,1.08
635516,290791,11,1,40.00,0.00,2.40
635517,290791,16,1,149.00,0.00,8.94
635518,290792,23,1,62.00,4.34,3.46
635519,290792,48,1,88.00,6.16,4.91
635520,290792,21,3,108.00,22.68,18.08
635521,290793,18,1,65.00,1.95,3.78
635522,290794,10,1,45.00,0.00,2.70
635523,290794,33,1,58.00,0.00,3.48
635524,290795,43,1,18.00,0.54,1.05
635525,290795,29,1,34.00,1.02,1.98
635526,290795,12,1,98.00,2.94,5.70
635527,290796,43,1,18.00,0.00,1.08
635528,290797,48,1,88.00,0.00,5.28
635529,290798,1,1,32.00,2.24,1.79
635530,290798,11,1,40.00,2.80,2.23
635531,290799,37,1,55.00,2.75,3.13
635532,290799,9,1,30.00,1.50,1.71
635533,290800,35,1,42.00,0.00,2.52
635534,290800,43,1,18.00,0.00,1.08
635535,290800,18,2,65.00,0.00,7.80
635536,290801,31,1,48.00,0.00,2.88
635537,290802,42,1,25.00,0.00,1.50
635538,290802,8,2,38.00,0.00,4.56
635539,290803,34,2,85.00,0.00,10.20
635540,290804,14,2,68.00,4.08,7.92
635541,290804,34,1,85.00,2.55,4.95
635542,290804,37,1,55.00,1.65,3.20
635543,290804,15,2,125.00,7.50,14.55
635544,290805,44,2,68.00,0.00,8.16
635545,290805,20,1,48.00,0.00,2.88
635546,290805,41,2,22.00,0.00,2.64
635547,290806,44,1,68.00,2.04,3.96
635548,290806,39,1,62.00,1.86,3.61
635549,290806,1,2,32.00,1.92,3.72
635550,290807,2,2,38.00,2.28,4.42
635551,290808,9,2,30.00,1.80,3.49
635552,290809,26,1,58.00,0.00,3.48
635553,290810,2,1,38.00,0.00,2.28
635554,290810,3,1,29.00,0.00,1.74
635555,290811,27,1,38.00,0.00,2.28
635556,290812,17,2,85.00,0.00,10.20
635557,290813,8,1,38.00,1.14,2.21
635558,290813,12,2,98.00,5.88,11.41
635559,290814,12,1,98.00,6.86,5.47
635560,290815,2,1,38.00,1.90,2.17
635561,290815,3,2,29.00,2.90,3.31
635562,290815,28,1,50.00,2.50,2.85
635563,290815,45,1,105.00,5.25,5.98
635564,290816,45,2,105.00,6.30,12.22
635565,290817,7,1,32.00,0.00,1.92
635566,290818,46,1,82.00,4.10,4.67
635567,290819,35,1,42.00,1.26,2.44
635568,290820,42,1,25.00,0.00,1.50
635569,290821,34,2,85.00,11.90,9.49
635570,290821,43,2,18.00,2.52,2.01
635571,290822,38,1,58.00,4.06,3.24
635572,290822,18,2,65.00,9.10,7.25
635573,290822,24,1,69.00,4.83,3.85
635574,290823,2,1,38.00,2.66,2.12
635575,290823,21,1,108.00,7.56,6.03
635576,290823,9,1,30.00,2.10,1.67
635577,290824,3,1,29.00,0.00,1.74
635578,290825,2,1,38.00,0.00,2.28
635579,290826,7,1,32.00,0.00,1.92
635580,290826,43,1,18.00,0.00,1.08
635581,290826,40,3,72.00,0.00,12.96
635582,290827,6,1,27.00,1.89,1.51
635583,290827,35,2,42.00,5.88,4.69
635584,290827,29,1,34.00,2.38,1.90
635585,290827,28,1,50.00,3.50,2.79
635586,290828,17,1,85.00,0.00,5.10
635587,290828,9,1,30.00,0.00,1.80
635588,290828,32,1,68.00,0.00,4.08
635589,290829,47,1,52.00,0.00,3.12
635590,290830,1,2,32.00,1.92,3.72
635591,290830,35,1,42.00,1.26,2.44
635592,290831,11,1,40.00,6.80,1.99
635593,290831,5,3,35.00,17.85,5.23
635594,290832,4,1,54.00,0.00,3.24
635595,290832,19,1,88.00,0.00,5.28
635596,290832,26,1,58.00,0.00,3.48
635597,290833,4,1,54.00,0.00,3.24
635598,290834,3,2,29.00,0.00,3.48
635599,290834,3,1,29.00,0.00,1.74
635600,290834,28,1,50.00,0.00,3.00
635601,290834,35,2,42.00,0.00,5.04
635602,290834,37,1,55.00,0.00,3.30
635603,290835,48,2,88.00,0.00,10.56
635604,290836,8,2,38.00,9.12,4.01
635605,290836,32,1,68.00,8.16,3.59
635606,290837,6,1,27.00,0.00,1.62
635607,290838,29,1,34.00,2.38,1.90
