order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
445885,202216,24,2,3.72,7.22
445886,202216,46,1,2.46,4.77
445887,202216,39,1,1.86,3.61
445888,202216,5,1,1.05,2.04
445889,202216,6,1,0.81,1.57
445890,202217,41,2,1.32,2.56
445891,202218,21,2,0.00,12.96
445892,202219,32,1,0.00,4.08
445893,202219,36,2,0.00,7.80
445894,202220,46,2,19.68,8.66
445895,202220,23,2,14.88,6.55
445896,202221,4,3,4.32,8.38
445897,202221,47,3,4.68,9.08
445898,202222,9,4,8.40,6.70
445899,202222,10,2,6.30,5.02
445900,202223,41,3,4.62,3.68
445901,202223,5,2,4.90,3.91
445902,202224,20,2,0.00,5.76
445903,202224,41,1,0.00,1.32
445904,202224,27,3,0.00,6.84
445905,202224,44,2,0.00,8.16
445906,202224,43,2,0.00,2.16
445907,202225,16,2,32.40,14.26
445908,202226,15,3,11.25,21.82
445909,202226,24,2,3.72,7.22
445910,202226,34,2,5.10,9.89
445911,202226,28,1,1.35,2.62
445912,202227,5,4,16.80,7.39
445913,202227,36,1,7.80,3.43
445914,202228,44,3,24.48,10.77
445915,202228,44,4,32.64,14.36
445916,202229,11,3,0.00,7.20
445917,202229,25,3,0.00,8.64
445918,202229,10,3,0.00,8.10
445919,202229,21,2,0.00,12.96
445920,202229,11,4,0.00,9.60
445921,202230,45,2,0.00,11.40
445922,202230,40,3,0.00,12.96
445923,202230,35,3,0.00,7.56
445924,202231,47,2,0.00,6.24
445925,202232,6,2,0.00,3.24
445926,202232,32,1,0.00,4.08
445927,202233,20,3,0.00,8.64
445928,202233,40,2,0.00,8.64
445929,202233,23,1,0.00,3.72
445930,202234,7,2,0.00,3.84
445931,202235,42,1,0.75,1.45
445932,202236,42,2,0.00,3.00
445933,202237,1,1,0.96,1.86
445934,202237,23,2,3.72,7.22
445935,202238,22,4,0.00,13.20
445936,202238,29,1,0.00,2.04
445937,202238,30,2,0.00,9.84
445938,202239,23,2,0.00,7.44
445939,202239,41,5,0.00,6.60
445940,202240,18,3,5.85,11.35
445941,202240,35,2,2.52,4.89
445942,202241,26,3,0.00,10.44
445943,202242,46,3,29.52,12.99
445944,202242,8,3,13.68,6.02
445945,202243,35,2,2.52,4.89
445946,202243,33,3,5.22,10.13
445947,202243,41,1,0.66,1.28
445948,202243,27,2,2.28,4.42
445949,202244,36,5,9.75,18.91
445950,202244,10,1,1.35,2.62
445951,202245,6,2,6.48,2.85
445952,202245,6,2,6.48,2.85
445953,202246,30,1,2.46,4.77
445954,202246,43,3,1.62,3.14
445955,202246,46,3,7.38,14.32
445956,202246,2,2,2.28,4.42
445957,202247,31,1,3.36,2.68
445958,202247,41,4,6.16,4.91
445959,202248,14,1,11.56,3.39
445960,202248,17,2,28.90,8.47
445961,202249,29,3,0.00,6.12
445962,202249,24,1,0.00,3.72
445963,202249,10,1,0.00,2.70
445964,202250,13,3,6.75,13.09
445965,202250,6,3,2.43,4.71
445966,202251,17,3,30.60,13.46
445967,202251,27,4,18.24,8.03
445968,202252,13,4,0.00,18.00
445969,202252,19,2,0.00,9.36
445970,202253,41,3,1.98,3.84
445971,202253,31,2,2.88,5.59
