res_ID,cus_ID,br_ID,booking_date,reservation_date,res_status
79056,16095,1,2023-12-27,2024-01-01,Completed
79057,3,1,2023-12-29,2024-01-01,Completed
79058,17418,1,2023-12-27,2024-01-01,Completed
79059,10614,1,2023-12-31,2024-01-01,Completed
79060,6505,2,2023-12-18,2024-01-01,Completed
79061,1364,2,2024-01-01,2024-01-01,Completed
79062,13515,2,2024-01-01,2024-01-01,Completed
79063,19720,2,2023-12-30,2024-01-01,Cancelled
79064,4278,3,2023-12-31,2024-01-01,No-Show
79065,13606,3,2023-12-27,2024-01-01,Completed
79066,20545,3,2023-12-18,2024-01-01,Completed
79067,11331,3,2023-12-27,2024-01-01,Completed
79068,21477,3,2023-12-27,2024-01-01,Completed
79069,6278,4,2023-12-22,2024-01-01,No-Show
79070,21196,4,2023-12-31,2024-01-01,Completed
79071,20638,4,2023-12-29,2024-01-01,Completed
79072,5293,4,2023-12-22,2024-01-01,Completed
79073,11299,5,2024-01-01,2024-01-01,Completed
79074,7538,5,2024-01-01,2024-01-01,Completed
79075,15521,6,2023-12-30,2024-01-01,Completed
79076,6036,6,2023-12-31,2024-01-01,Completed
79077,17611,6,2023-12-18,2024-01-01,Completed
79078,13079,6,2023-12-30,2024-01-01,Completed
79079,2803,6,2023-12-29,2024-01-01,Completed
79080,11025,7,2023-12-29,2024-01-01,Completed
79081,10544,8,2023-12-30,2024-01-01,Completed
79082,1817,8,2023-12-31,2024-01-01,Completed
79083,18842,9,2023-12-25,2024-01-01,Completed
79084,18005,9,2023-12-30,2024-01-01,Completed
79085,6817,11,2023-12-31,2024-01-01,Completed
79086,10882,11,2023-12-22,2024-01-01,Completed
79087,12765,11,2024-01-01,2024-01-01,Completed
79088,1139,11,2023-12-22,2024-01-01,Completed
79089,23,11,2024-01-01,2024-01-01,Completed
79090,10342,12,2024-01-01,2024-01-01,Completed
79091,6996,12,2023-12-29,2024-01-01,Completed
79092,18702,13,2023-12-31,2024-01-01,Completed
79093,21604,13,2023-12-29,2024-01-01,Completed
79094,21357,13,2023-12-25,2024-01-01,Completed
79095,17090,1,2023-12-30,2024-01-02,Completed
79096,20149,1,2024-01-01,2024-01-02,Completed
79097,3686,1,2023-12-19,2024-01-02,Completed
79098,18173,1,2024-01-01,2024-01-02,Completed
79099,2907,2,2024-01-01,2024-01-02,Completed
79100,1322,2,2024-01-01,2024-01-02,Completed
79101,4010,2,2023-12-26,2024-01-02,Completed
79102,8900,3,2023-12-23,2024-01-02,Completed
79103,12832,3,2023-12-31,2024-01-02,Completed
79104,7603,3,2023-12-23,2024-01-02,Cancelled
79105,16605,3,2023-12-28,2024-01-02,Completed
79106,15671,4,2023-12-26,2024-01-02,Completed
79107,17934,4,2023-12-31,2024-01-02,Completed
79108,10530,4,2023-12-30,2024-01-02,Completed
79109,3972,4,2023-12-31,2024-01-02,Cancelled
79110,16496,4,2023-12-23,2024-01-02,Completed
79111,7466,4,2023-12-31,2024-01-02,Completed
79112,21385,4,2024-01-02,2024-01-02,Completed
79113,12978,5,2024-01-02,2024-01-02,Completed
79114,19320,5,2024-01-02,2024-01-02,Completed
79115,19289,6,2023-12-23,2024-01-02,Completed
79116,15360,6,2024-01-01,2024-01-02,Completed
79117,21644,6,2024-01-02,2024-01-02,Completed
79118,7010,7,2023-12-31,2024-01-02,Completed
79119,13532,7,2023-12-30,2024-01-02,Completed
79120,18808,7,2023-12-26,2024-01-02,Completed
79121,9112,7,2023-12-26,2024-01-02,Completed
79122,14257,7,2023-12-30,2024-01-02,Completed
79123,7964,7,2024-01-01,2024-01-02,Completed
79124,19666,8,2023-12-31,2024-01-02,Completed
79125,8708,10,2023-12-31,2024-01-02,Completed
79126,343,10,2023-12-31,2024-01-02,Completed
79127,5264,10,2024-01-01,2024-01-02,Completed
79128,20692,10,2023-12-28,2024-01-02,Completed
79129,2560,10,2023-12-31,2024-01-02,Completed
79130,15298,10,2023-12-26,2024-01-02,Completed
79131,11540,10,2024-01-02,2024-01-02,Completed
79132,8219,11,2023-12-31,2024-01-02,Completed
79133,21169,11,2023-12-26,2024-01-02,Completed
79134,17016,12,2024-01-01,2024-01-02,Completed
79135,3442,12,2023-12-30,2024-01-02,Completed
79136,15280,12,2024-01-01,2024-01-02,Completed
79137,19125,13,2024-01-02,2024-01-02,Completed
79138,21444,13,2023-12-19,2024-01-02,No-Show
79139,2053,1,2024-01-03,2024-01-03,Completed
79140,8344,1,2024-01-01,2024-01-03,Completed
79141,12028,1,2024-01-02,2024-01-03,Completed
79142,5413,1,2024-01-03,2024-01-03,Completed
79143,17044,1,2024-01-03,2024-01-03,Completed
79144,11231,1,2023-12-24,2024-01-03,Completed
79145,4045,1,2023-12-29,2024-01-03,No-Show
79146,13542,2,2023-12-29,2024-01-03,Completed
79147,3341,2,2023-12-20,2024-01-03,Completed
79148,19378,2,2023-12-29,2024-01-03,Completed
79149,4962,2,2023-12-27,2024-01-03,Cancelled
79150,15605,3,2024-01-03,2024-01-03,Completed
79151,3514,3,2024-01-02,2024-01-03,Completed
79152,21417,3,2023-12-24,2024-01-03,Completed
79153,20333,3,2024-01-03,2024-01-03,Completed
79154,3982,3,2024-01-03,2024-01-03,Completed
79155,21138,4,2024-01-03,2024-01-03,Completed
79156,17095,4,2023-12-29,2024-01-03,Completed
79157,11689,4,2024-01-02,2024-01-03,Completed
79158,18569,5,2023-12-27,2024-01-03,Completed
79159,7258,6,2024-01-01,2024-01-03,Completed
79160,8802,6,2024-01-02,2024-01-03,Completed
79161,14826,6,2023-12-31,2024-01-03,Completed
79162,8550,6,2024-01-02,2024-01-03,Completed
79163,7877,6,2024-01-02,2024-01-03,Completed
79164,2676,7,2024-01-03,2024-01-03,Completed
79165,20640,7,2024-01-02,2024-01-03,Completed
79166,16297,8,2023-12-24,2024-01-03,Completed
79167,15805,8,2024-01-02,2024-01-03,Completed
79168,651,8,2024-01-02,2024-01-03,Completed
79169,20407,8,2024-01-02,2024-01-03,Completed
79170,2710,8,2024-01-03,2024-01-03,Completed
79171,7470,8,2023-12-31,2024-01-03,Completed
79172,13190,9,2024-01-03,2024-01-03,Completed
79173,6606,9,2023-12-31,2024-01-03,Completed
79174,8341,9,2023-12-27,2024-01-03,Completed
79175,11103,10,2024-01-03,2024-01-03,Completed
79176,14688,10,2024-01-02,2024-01-03,Completed
79177,17340,10,2024-01-01,2024-01-03,Completed
79178,5112,10,2023-12-24,2024-01-03,Completed
79179,8619,11,2023-12-27,2024-01-03,Completed
79180,585,12,2024-01-02,2024-01-03,Completed
79181,17682,12,2024-01-02,2024-01-03,Completed
79182,21072,13,2023-12-29,2024-01-03,Completed
79183,15909,1,2024-01-03,2024-01-04,Completed
79184,34,1,2024-01-04,2024-01-04,Completed
79185,6376,1,2024-01-03,2024-01-04,Completed
79186,15873,1,2024-01-04,2024-01-04,Completed
79187,20136,2,2023-12-30,2024-01-04,Completed
79188,20620,2,2024-01-02,2024-01-04,Completed
79189,18803,2,2024-01-03,2024-01-04,Completed
79190,8808,2,2024-01-04,2024-01-04,Completed
79191,11724,2,2023-12-25,2024-01-04,Completed
79192,18133,2,2023-12-30,2024-01-04,Completed
79193,9421,2,2024-01-03,2024-01-04,Completed
79194,21244,2,2024-01-01,2024-01-04,Completed
79195,12073,2,2024-01-02,2024-01-04,Completed
79196,17399,3,2023-12-30,2024-01-04,Completed
79197,18704,3,2024-01-01,2024-01-04,Cancelled
79198,7454,3,2024-01-03,2024-01-04,Completed
79199,2709,3,2023-12-30,2024-01-04,Completed
79200,13338,4,2024-01-01,2024-01-04,Completed
79201,7736,4,2023-12-21,2024-01-04,Completed
79202,3658,4,2024-01-04,2024-01-04,Completed
79203,17102,4,2024-01-04,2024-01-04,Completed
79204,5723,4,2024-01-02,2024-01-04,Completed
79205,7210,5,2024-01-04,2024-01-04,Completed
79206,13548,5,2024-01-04,2024-01-04,Completed
79207,16416,6,2024-01-04,2024-01-04,Completed
79208,366,6,2023-12-25,2024-01-04,Completed
79209,2529,6,2023-12-30,2024-01-04,Completed
79210,8894,6,2024-01-04,2024-01-04,Completed
79211,21352,6,2024-01-04,2024-01-04,Completed
79212,10581,6,2024-01-03,2024-01-04,Completed
79213,10576,6,2024-01-04,2024-01-04,Completed
79214,6207,7,2023-12-25,2024-01-04,Completed
79215,18401,7,2024-01-01,2024-01-04,Completed
79216,13539,7,2024-01-03,2024-01-04,Completed
79217,12196,8,2024-01-03,2024-01-04,Cancelled
79218,11061,10,2023-12-30,2024-01-04,Completed
79219,13588,10,2024-01-04,2024-01-04,Completed
79220,21639,10,2023-12-30,2024-01-04,Completed
79221,20379,10,2024-01-04,2024-01-04,Completed
79222,2028,10,2024-01-01,2024-01-04,Completed
79223,14586,11,2023-12-21,2024-01-04,Completed
79224,18107,11,2023-12-25,2024-01-04,Completed
79225,12991,11,2024-01-04,2024-01-04,Completed
79226,13334,11,2024-01-03,2024-01-04,Completed
79227,18937,11,2023-12-28,2024-01-04,Completed
79228,15337,12,2023-12-21,2024-01-04,Completed
79229,17936,12,2023-12-30,2024-01-04,Completed
79230,21657,13,2024-01-03,2024-01-04,Completed
79231,19431,13,2024-01-04,2024-01-04,Completed
79232,21229,13,2024-01-03,2024-01-04,Completed
79233,11038,1,2024-01-04,2024-01-05,No-Show
79234,2078,1,2024-01-02,2024-01-05,Completed
79235,11985,1,2024-01-03,2024-01-05,Completed
79236,21740,1,2024-01-02,2024-01-05,Completed
79237,14106,1,2024-01-05,2024-01-05,Completed
79238,10642,1,2024-01-05,2024-01-05,Cancelled
79239,16161,1,2024-01-03,2024-01-05,Completed
79240,9633,1,2024-01-05,2024-01-05,Completed
79241,11038,1,2023-12-22,2024-01-05,Completed
79242,2920,2,2024-01-03,2024-01-05,Completed
79243,9728,2,2024-01-05,2024-01-05,Completed
79244,352,2,2024-01-02,2024-01-05,Completed
79245,4117,3,2023-12-29,2024-01-05,Cancelled
79246,9410,3,2024-01-04,2024-01-05,Completed
79247,9456,3,2024-01-04,2024-01-05,Cancelled
79248,16738,3,2023-12-31,2024-01-05,Completed
79249,14771,3,2023-12-31,2024-01-05,Completed
79250,20309,4,2023-12-26,2024-01-05,Completed
79251,6103,4,2024-01-04,2024-01-05,Completed
79252,16041,5,2024-01-05,2024-01-05,Completed
79253,20939,5,2024-01-05,2024-01-05,Completed
79254,18965,5,2024-01-02,2024-01-05,Completed
79255,20431,5,2023-12-22,2024-01-05,Completed
79256,15720,6,2024-01-05,2024-01-05,Completed
79257,8410,6,2024-01-03,2024-01-05,Completed
79258,7768,6,2024-01-02,2024-01-05,Completed
79259,17968,6,2024-01-05,2024-01-05,Completed
79260,19203,6,2024-01-03,2024-01-05,Completed
79261,19708,6,2024-01-04,2024-01-05,Completed
79262,14259,7,2023-12-26,2024-01-05,Completed
79263,17245,7,2024-01-02,2024-01-05,Completed
79264,15539,7,2024-01-05,2024-01-05,Completed
79265,15651,7,2024-01-04,2024-01-05,Cancelled
