order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
491658,222297,41,1,4.25,1.24
491659,222298,2,3,0.00,6.84
491660,222298,12,1,0.00,5.88
491661,222298,14,2,0.00,8.16
491662,222298,45,1,0.00,3.48
491663,222299,1,3,0.00,5.76
491664,222299,35,1,0.00,3.48
491665,222299,7,2,0.00,3.84
491666,222300,5,3,3.15,6.11
491667,222301,1,4,8.96,7.14
491668,222301,1,1,2.24,1.79
491669,222302,44,2,0.00,8.64
491670,222302,11,1,0.00,2.88
491671,222303,16,2,18.90,15.07
491672,222304,9,3,3.60,6.98
491673,222304,46,2,2.28,4.42
491674,222304,36,1,2.28,4.42
491675,222304,28,5,8.70,16.88
491676,222305,2,3,5.70,6.50
491677,222305,31,3,6.75,7.69
491678,222305,8,3,5.70,6.50
491679,222305,28,2,5.80,6.61
491680,222306,9,2,0.00,4.80
491681,222306,40,1,0.00,1.08
491682,222306,47,2,0.00,5.04
491683,222307,43,3,0.00,9.36
491684,222307,43,2,0.00,6.24
491685,222308,8,2,2.28,4.42
491686,222309,46,3,5.70,6.50
491687,222309,42,3,4.20,4.79
491688,222309,25,2,6.20,7.07
491689,222309,45,2,5.80,6.61
491690,222310,48,1,4.34,3.46
491691,222310,7,1,2.24,1.79
491692,222310,12,2,13.72,10.94
491693,222310,13,1,5.25,4.18
491694,222311,41,4,3.00,5.82
491695,222311,43,3,4.68,9.08
491696,222312,3,3,6.09,4.85
491697,222313,40,2,0.00,2.16
491698,222313,29,1,0.00,3.12
491699,222313,6,3,0.00,7.20
491700,222314,15,2,7.50,14.55
491701,222314,2,2,2.28,4.42
491702,222315,40,3,0.00,3.24
491703,222315,3,3,0.00,5.22
491704,222315,2,3,0.00,6.84
491705,222316,9,3,14.40,6.34
491706,222316,18,3,54.00,23.76
491707,222316,47,2,10.08,4.44
491708,222317,39,2,0.00,11.04
491709,222318,43,3,10.92,8.70
491710,222319,3,5,4.35,8.44
491711,222319,42,1,0.84,1.63
491712,222320,26,4,12.40,14.14
491713,222320,47,2,4.20,4.79
491714,222321,2,3,0.00,6.84
491715,222321,3,2,0.00,3.48
491716,222321,29,3,0.00,9.36
491717,222322,2,5,5.70,11.06
491718,222323,4,4,13.44,10.71
491719,222324,33,1,1.44,2.79
491720,222324,3,3,2.61,5.06
491721,222324,21,1,1.44,2.79
491722,222325,27,2,6.72,5.36
491723,222325,48,4,17.36,13.84
491724,222326,15,2,0.00,15.00
491725,222327,11,1,5.76,2.53
491726,222327,7,1,3.84,1.69
491727,222327,41,3,9.00,3.96
491728,222328,46,1,0.00,2.28
491729,222328,17,3,0.00,17.10
491730,222329,1,2,0.00,3.84
491731,222329,2,1,0.00,2.28
491732,222329,27,4,0.00,11.52
491733,222330,20,4,0.00,18.72
491734,222330,45,1,0.00,3.48
491735,222330,41,1,0.00,1.50
491736,222331,31,2,6.30,5.02
491737,222331,39,1,6.44,5.13
491738,222332,34,2,0.00,4.32
491739,222332,37,2,0.00,6.96
491740,222332,5,2,0.00,4.20
491741,222333,42,3,6.72,4.64
491742,222334,31,3,0.00,8.10
491743,222335,8,2,0.00,4.56
491744,222335,26,1,0.00,3.72
491745,222335,1,2,0.00,3.84
491746,222335,14,1,0.00,4.08
491747,222336,25,4,0.00,14.88
491748,222337,19,1,1.95,3.78
491749,222337,24,4,10.56,20.49
491750,222338,3,1,0.87,1.69
491751,222338,19,2,3.90,7.57
491752,222338,41,1,0.75,1.45
491753,222339,16,3,12.15,23.57
491754,222340,23,1,1.65,3.20
491755,222340,37,3,5.22,10.13
491756,222341,32,1,0.00,4.92
491757,222341,32,3,0.00,14.76
491758,222341,25,2,0.00,7.44
491759,222341,41,2,0.00,3.00
491760,222342,40,2,2.88,1.99
491761,222343,6,2,5.60,4.46
491762,222343,3,1,2.03,1.62
491763,222343,28,2,8.12,6.47
491764,222344,43,1,4.16,2.87
491765,222344,14,3,16.32,11.26
491766,222344,4,3,11.52,7.95
491767,222344,2,4,12.16,8.39
491768,222344,40,2,2.88,1.99
491769,222345,5,1,4.20,1.85
491770,222345,35,4,27.84,12.25
491771,222346,25,2,8.68,6.92
491772,222346,36,3,15.96,12.72
491773,222347,32,3,29.52,12.99
491774,222347,4,4,23.04,10.14
491775,222348,8,2,3.80,4.33
491776,222348,2,3,5.70,6.50
491777,222348,2,1,1.90,2.17
491778,222348,33,3,7.20,8.21
491779,222349,30,2,5.32,4.24
491780,222350,16,1,4.05,7.86
491781,222350,22,1,3.24,6.29
491782,222350,2,4,4.56,8.85
491783,222351,27,1,3.36,2.68
491784,222351,37,2,8.12,6.47
491785,222351,8,2,5.32,4.24
491786,222351,2,2,5.32,4.24
491787,222352,45,4,6.96,13.50
491788,222352,33,3,4.32,8.38
491789,222352,40,3,1.62,3.14
491790,222353,48,3,0.00,11.16
491791,222354,7,1,2.56,1.77
491792,222354,28,4,18.56,12.81
491793,222354,42,3,6.72,4.64
491794,222354,48,5,24.80,17.11
491795,222354,36,5,30.40,20.98
491796,222355,17,3,8.55,16.59
491797,222355,3,1,0.87,1.69
491798,222355,35,3,5.22,10.13
491799,222356,3,3,4.35,4.96
491800,222356,38,3,12.75,14.54
491801,222357,39,1,0.00,5.52
491802,222357,5,3,0.00,6.30
491803,222358,29,1,1.56,3.03
491804,222358,14,3,6.12,11.87
491805,222359,26,1,1.86,3.61
