order_det_ID,order_ID,product_ID,order_quantity,order_discount,order_tax
1,1,4,1,1.26,2.44
2,1,4,1,1.26,2.44
3,1,23,4,6.60,12.80
4,2,8,1,1.14,2.21
5,2,13,1,2.25,4.37
6,3,27,2,9.12,4.01
7,3,4,2,10.08,4.44
8,3,18,3,23.40,10.30
9,4,27,1,1.14,2.21
10,4,27,3,3.42,6.63
11,5,9,1,2.10,1.67
12,5,29,4,9.52,7.59
13,6,37,2,18.70,5.48
14,6,21,1,16.15,4.73
15,7,36,1,0.00,3.90
16,8,27,3,13.68,6.02
17,8,38,2,13.92,6.12
18,8,24,4,29.76,13.09
19,8,39,1,7.44,3.27
20,8,29,1,4.08,1.80
21,9,30,3,0.00,12.96
22,9,26,1,0.00,3.48
23,9,28,2,0.00,5.40
24,9,2,3,0.00,6.84
25,10,26,1,6.96,3.06
26,10,21,1,11.40,5.02
27,11,10,1,0.00,2.70
28,12,35,3,8.82,7.03
29,13,12,1,0.00,5.34
30,14,20,2,2.88,5.59
31,14,9,3,2.70,5.24
32,14,4,1,1.26,2.44
33,15,6,2,9.18,2.69
34,15,38,1,9.86,2.89
35,16,26,2,3.48,6.75
36,17,40,1,5.04,4.02
37,18,32,3,14.28,11.38
38,19,4,2,5.88,4.69
39,19,8,2,5.32,4.24
40,19,31,4,13.44,10.71
41,19,4,2,5.88,4.69
42,20,20,2,0.00,5.76
43,21,15,1,0.00,6.60
44,21,8,2,0.00,4.56
45,21,16,1,0.00,7.20
46,22,6,1,0.81,1.57
47,23,16,2,0.00,14.40
48,23,40,4,0.00,17.28
49,23,32,1,0.00,4.08
50,24,17,2,20.40,8.98
51,24,13,1,9.00,3.96
52,24,16,4,57.60,25.34
53,25,24,3,5.58,10.83
54,25,27,3,3.42,6.63
55,25,28,1,1.35,2.62
56,26,26,2,13.92,6.12
57,26,7,2,7.68,3.38
58,27,10,2,10.80,4.75
59,27,36,3,23.40,10.30
60,27,38,2,13.92,6.12
61,27,38,2,13.92,6.12
62,27,5,3,12.60,5.54
63,28,35,3,6.30,7.18
64,28,11,4,8.00,9.12
65,28,2,3,5.70,6.50
66,28,31,3,7.20,8.21
67,29,11,2,5.60,4.46
68,29,17,1,5.95,4.74
69,30,11,1,0.00,2.40
70,30,34,1,0.00,5.10
71,30,8,4,0.00,9.12
72,31,29,2,0.00,4.08
73,32,26,2,0.00,6.96
74,33,16,2,28.80,12.67
75,33,41,2,5.28,2.32
76,34,22,2,7.70,6.14
77,34,36,3,13.65,10.88
78,34,5,4,9.80,7.81
79,35,3,1,0.87,1.69
80,35,7,1,0.96,1.86
81,35,39,1,1.86,3.61
82,35,9,2,1.80,3.49
83,36,37,1,3.85,3.07
84,36,20,4,13.44,10.71
85,37,32,3,6.12,11.87
86,38,8,3,3.42,6.63
87,38,5,2,2.10,4.07
88,39,13,2,0.00,9.00
89,39,18,3,0.00,11.70
90,40,16,4,33.60,26.78
91,41,41,1,0.66,1.28
92,41,9,1,0.90,1.75
93,41,16,3,10.80,20.95
94,41,43,3,1.62,3.14
95,42,22,1,1.65,3.20
96,43,22,2,0.00,6.60
97,43,40,4,0.00,17.28
98,43,27,1,0.00,2.28
99,43,6,3,0.00,4.86
100,43,9,2,0.00,3.60
101,44,27,4,4.56,8.85
102,44,3,2,1.74,3.38
103,44,23,1,1.65,3.20
104,44,29,1,1.02,1.98
105,44,23,1,1.65,3.20
106,45,30,2,10.08,8.04
107,46,29,3,12.24,5.39
108,46,26,1,6.96,3.06
109,46,42,2,6.00,2.64
110,47,28,1,0.00,2.70
111,47,37,1,0.00,3.30
112,47,29,1,0.00,2.04
113,47,37,3,0.00,9.90
114,48,41,3,1.98,3.84
115,48,28,1,1.35,2.62
116,48,23,2,3.30,6.40
117,49,8,2,2.28,4.42
118,49,36,2,3.90,7.57
119,49,32,2,4.08,7.92
120,49,31,3,4.32,8.38
121,49,11,2,2.40,4.66
122,50,26,1,1.74,3.38
