br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
1,1,1,2018-01,12950.00,2018-01-28
2,1,2,2018-01,1765.66,2018-01-28
3,1,3,2018-01,221.12,2018-01-28
4,1,4,2018-01,209.00,2018-01-28
5,1,5,2018-01,992.23,2018-01-28
6,1,6,2018-01,297.45,2018-01-28
7,2,1,2018-01,9950.00,2018-01-28
8,2,2,2018-01,1226.95,2018-01-28
9,2,3,2018-01,194.61,2018-01-28
10,2,4,2018-01,209.00,2018-01-28
11,2,5,2018-01,731.65,2018-01-28
12,2,6,2018-01,214.61,2018-01-28
13,3,1,2018-01,8250.00,2018-01-28
14,3,2,2018-01,1083.64,2018-01-28
15,3,3,2018-01,151.98,2018-01-28
16,3,4,2018-01,209.00,2018-01-28
17,3,5,2018-01,904.20,2018-01-28
18,3,6,2018-01,177.96,2018-01-28
19,4,1,2018-01,6700.00,2018-01-28
20,4,2,2018-01,929.64,2018-01-28
21,4,3,2018-01,121.15,2018-01-28
22,4,4,2018-01,209.00,2018-01-28
23,4,5,2018-01,464.73,2018-01-28
24,4,6,2018-01,154.71,2018-01-28
25,6,1,2018-01,6850.00,2018-01-28
26,6,2,2018-01,940.35,2018-01-28
27,6,3,2018-01,119.00,2018-01-28
28,6,4,2018-01,209.00,2018-01-28
29,6,5,2018-01,563.62,2018-01-28
30,6,6,2018-01,156.10,2018-01-28
31,7,1,2018-01,5900.00,2018-01-28
32,7,2,2018-01,783.11,2018-01-28
33,7,3,2018-01,100.10,2018-01-28
34,7,4,2018-01,209.00,2018-01-28
35,7,5,2018-01,669.38,2018-01-28
36,7,6,2018-01,127.82,2018-01-28
37,8,1,2018-01,6450.00,2018-01-28
38,8,2,2018-01,811.86,2018-01-28
39,8,3,2018-01,106.57,2018-01-28
40,8,4,2018-01,209.00,2018-01-28
41,8,5,2018-01,439.27,2018-01-28
42,8,6,2018-01,137.51,2018-01-28
43,9,1,2018-01,5050.00,2018-01-28
44,9,2,2018-01,702.49,2018-01-28
45,9,3,2018-01,91.94,2018-01-28
46,9,4,2018-01,209.00,2018-01-28
47,9,5,2018-01,573.04,2018-01-28
48,9,6,2018-01,115.64,2018-01-28
49,10,1,2018-01,6250.00,2018-01-28
50,10,2,2018-01,839.58,2018-01-28
51,10,3,2018-01,112.70,2018-01-28
52,10,4,2018-01,209.00,2018-01-28
53,10,5,2018-01,474.90,2018-01-28
54,10,6,2018-01,139.82,2018-01-28
55,11,1,2018-01,6000.00,2018-01-28
56,11,2,2018-01,721.55,2018-01-28
57,11,3,2018-01,108.44,2018-01-28
58,11,4,2018-01,209.00,2018-01-28
59,11,5,2018-01,475.45,2018-01-28
60,11,6,2018-01,134.29,2018-01-28
61,12,1,2018-01,4850.00,2018-01-28
62,12,2,2018-01,610.66,2018-01-28
63,12,3,2018-01,78.18,2018-01-28
64,12,4,2018-01,209.00,2018-01-28
65,12,5,2018-01,406.58,2018-01-28
66,12,6,2018-01,112.04,2018-01-28
